AnoHecho;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;ActorVial;TipoVehiculoGrupo;ObjetoColision;CondicionVictima;DiaOcurrencia;Rango3horas;ConteoRegistros
2015.0;8001.0;Atlantico;Barranquilla;Urbana;Mujer;25.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Objeto fijo;Pasajero;7.Domingo;00:00 a 02:59;1.0
2024.0;68001.0;Santander;Bucaramanga;Urbana;Hombre;49.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;No aplica;Conductor;3.Miércoles;12:00 a 14:59;1.0
2021.0;54498.0;Norte Santander;Ocana;Urbana;Hombre;64.0;;Peatón;No Aplica;Motocicleta;Peatón;4.Jueves;12:00 a 14:59;1.0
2015.0;76520.0;Valle Del Cauca;Palmira;Urbana;Hombre;22.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Motocicleta;Conductor;1.Lunes;;1.0
2016.0;68081.0;Santander;Barrancabermeja;Urbana;Hombre;24.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Conductor;6.Sábado;12:00 a 14:59;1.0
2018.0;52287.0;Narino;Funes;Rural;Hombre;25.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;7.Domingo;06:00 a 08:59;1.0
2023.0;20710.0;Cesar;San Alberto;Urbana;Hombre;41.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;7.Domingo;00:00 a 02:59;1.0
2024.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;40.0;Usuario de V.Individual;  Usuario de vehículo  ;Transporte Individual;Objeto fijo;Pasajero;5.Viernes;00:00 a 02:59;1.0
2019.0;73319.0;Tolima;Guamo;Rural;Hombre;72.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;No aplica;Conductor;7.Domino;12:00 a 14:59;1.0
2021.0;11001.0;Bogota Dc;Bogota;Urbana;Mujer;75.0;Peatón;Peatón;No Aplica;Transporte de pasajeros;Peatón;1.Lunes;12:00 a 14:59;1.0
2018.0;76834.0;Valle Del Cauca;Tulua;Urbana;Hombre;32.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;4.Jueves;21:00 a 23:59;1.0
;54498.0;Norte Santander;Ocana;Urbana;Hombre;66.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Conductor;6.Sábado;12:00 a 14:59;1.0
2021.0;68001.0;Santander;Bucaramanga;Urbana;Hombre;53.0;Usuario de moto;Usuario de moto;Motocicleta;Sin info.;Conductor;7.Domingo;;1.0
2020.0;20710.0;Cesar;San Alberto;Urbana;Hombre;68.0;Peatón;;No Aplica;Motocicleta;Peatón;4.Jueves;18:00 a 20:59;1.0
2018.0;76001.0;Valle Del Cauca;Cali;RURAL;Hombre;51.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;2.Martes;;1.0
2021.0; 85325.0 ;Casanare;San Luis Palenque;Rural;Hombre;63.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;3.Miércoles;;1.0
2019.0;19622.0;Cauca;Rosas;Rural;Hombre;18.0;Usuario de moto;usuario de moto;Motocicleta;Objeto fijo;Conductor;1.Lunes;;1.0
2022.0; 44650.0 ;La Guajira;San Juan Del Cesar;Urbana;Hombre;24.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;1.Lunes;09:00 a 11:59;1.0
2020.0;20621.0;Cesar;;Rural;Hombre;23.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Objeto fijo;Conductor;6.Sábado;15:00 a 17:59;1.0
2025.0;5079.0;Antioquia;barbosa;Urbana;Hombre;20.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Pasajero;6.Sábado;;1.0
2020.0;11001.0;Bogota Dc;Bogota;;Mujer;36.0;Peaón;Peatón;No Aplica;Otros;Peatón;4.Jueves;;1.0
2024.0;66001.0;Risaralda;Pereira;Urbana;Hombre;38.0;;  Peatón  ;;Transporte de carga;Peatón;1.Lunes;21:00 a 23:59;1.0
2019.0;76109.0;Valle Del Cauca;Buenaventura;Urbana;Hombre;21.0;;Usuario de moto;Motocicleta;Transporte de carga;Conductor;7.Domingo;09:00 a 11:59;1.0
2018.0;23466.0;Cordoba;Montelibano;Urbana;Hombre;91.0;Peatón;Peatón;;Motocicleta;Peatón;4.Jueves;;1.0
2023.0;19701.0;Cauca;Santa Rosa;Rural;Mujer;58.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Pasajero;2.Martes;;1.0
2019.0;68655.0;Santander;Sabana Torres;Rural;Hombre;26.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;4.Jueves;;1.0
2020.0;5837.0;Antioquia;turbo;Rural;Hombre;40.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;1.Lunes;;1.0
2023.0;5318.0;Antioquia;Guarne;Rural;Hombre;28.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;7.Domingo;18:00 a 20:59;1.0
2020.0;15861.0;Boyaca;Ventaquemada;Rural;Hombre;15.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;7.Domingo;;1.0
2019.0;19050.0;Cauca;Argelia;Urbana;Mujer;16.0;Usuario de moto;Usuario de moto;Motocicleta;  Transporte individual  ;Pasajero;2.Martes;;1.0
2018.0;5001.0;Antioquia;Medellin;Urbana;Hombre;21.0;Usuario T.Carga;Usuario de vehículo;Transporte De Carga;No aplica;Pasajero;1.Lunes;12:00 a 14:59;1.0
2020.0;20001.0;Cesar;;Rural;Hombre;28.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;3.Miércoles;06:00 a 08:59;1.0
;41396.0;Huila;La Plata;Rural;Hombre;13,0;Usuario de moto;Usuario de moto;Motocicleta;MOTOCICLETA;Conductor;4.Jueves;;1.0
2016.0;85001.0;Casanare;Yopal;Rural;Hombre;35.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;2.Martes;;1.0
2020.0;8001.0;Atlantico;Barranquilla;Urbana;Hombre;84.0;Peatón;Peatón;No Aplica;Transporte de pasajeros;Peatón;2.Martes;;1.0
2024.0;;Cundinamarca;Facatativa;Urbana;Hombre;27.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Conductor;1.Lunes;09:00 a 11:59;1.0
2017.0;76001.0;Valle Del Cauca;Cali;Urbana;Hombre;56.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;2.Martes;;1.0
2022.0;5001.0;Antioquia;Medellin;Urbana;Hombre;63.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;3.Miércoles;15:00 a 17:59;1.0
2025.0;8078.0;Atlantico;Baranoa;Urbana;Hombre;33.0;Peatón;Peatón;No Aplica;Transporte de carga;Peatón;7.Domingo;03:00 a 05:59;1.0
2015.0;25430.0;Cundinamarca;Madrid;Rural;Mujer;24.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;;Conductor;4.Jueves;06:00 a 08:59;1.0
2016.0;13001.0;Bolivar;Cartagena;Urbana;Hombre;47.0;Usuario de moto;;Motocicleta;Transporte individual;Pasajero;1.Lunes;;1.0
2025.0;11001.0;bogota dc;Bogota;Urbana;Mujer;26.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;5.Viernes;;1.0
2023.0;73671.0;Tolima;Saldana;Rural;Hombre;64.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Sin info.;Conductor;6.Sábado;;1.0
2019.0;76520.0;Valle Del Cauca;Palmira;Urbana;Hombre;59.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Motocicleta;Conductor;4.Jueves;;1.0
2023.0;63470.0;Quindio;Montenegro;Rural;Hombre;41.0;Peatón;Peatón;No Aplica;Transporte individual;Peatón;5.Viernes;;1.0
2018.0;5858.0;Antioquia;Vegachi;Rural;Hombre;45.0;Sin Información;Sin Información;Na;Sin info.;Sin Información;5.Viernes;03:00 a 05:59;1.0
2020.0;76834.0;Valle Del Cauca;Tulua;Rural;Mujer;56.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Pasajero;5.Viernes;;1.0
2017.0;;Antioquia;Medellin;Urbana;Hombre;16.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Transporte de pasajeros;Conductor;2.Martes;00:00 a 02:59;1.0
2015.0;41770.0;Huila;Suaza;Rural;Hombre;44.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;6.Sábado;;1.0
2022.0;50001.0;Meta;Villavicencio;Urbana;Mujer;35.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Conductor;1.Lunes;15:00 a 17:59;1.0
2021.0;52001.0;Narino;Pasto;Urbana;Hombre;24.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;7.Domingo;03:00 a 05:59;1.0
2017.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;27.0;Peatón;Peatón;No Aplica;Sin info.;Peatón;5.Viernes;;1.0
