FechaHecho;DiaOcurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;UsuarioVia;Rango3horas;ConteoRegistros
2016-01-06;3.Miércoles;23001.0;Cordoba;Monteria;Urbana;Sin Información;;1.0
2016-01-06;3.Miércoles;23500.0;Cordoba;Monitos;Rural;Usuario de moto;06:00 a 08:59;1.0
2016-01-06;3.Miércoles;41006.0;Huila;Acevedo;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-01-06;3.Miércoles;47001.0;Magdalena;Santa Marta;Urbana;Usuario T.Carga;;1.0
2016-01-06;3.Miércoles;50001.0;Meta;Villavicencio;Rural;Peatón;;1.0
2016-01-06;3.Miércoles;50001.0;Meta;Villavicencio;Urbana;Usuario de moto;;1.0
2016-01-06;3.Miércoles;52381.0;Narino;La Florida;Rural;Usuario de moto;00:00 a 02:59;1.0
2016-01-06;3.Miércoles;54001.0;Norte Santander;Cucuta;Urbana;Usuario de moto;;1.0
2016-01-06;3.Miércoles;68001.0;Santander;Bucaramanga;Urbana;Peatón;12:00 a 14:59;1.0
2016-01-06;3.Miércoles;73001.0;Tolima;Ibague;Rural;Usuario T.Carga;  09:00 a 11:59  ;1.0
2016-01-06;3.Miércoles;76828.0;Valle Del Cauca;Trujillo;Rural;Usuario de moto;;1.0
2016-01-06;3.Miércoles;88001.0;Archipielago San Andres, Providencia Y Santa Catalina;San Andres;Urbana;Usuario de moto;21:00 a 23:59;1.0
  2016-01-09  ;6.Sábado;5088.0;Antioquia;;Urbana;Usuario de moto;12:00 a 14:59;1.0
2016-01-09;6.Sábado;5129.0;Antioquia;Caldas;;Peatón;03:00 a 05:59;1.0
2016-01-09;6.Sábado;5895.0;Antioquia;Zaragoza;Urbana;Usuario de moto;09:00 a 11:59;1.0
2016-01-09;6.Sábado;11001.0;Bogota Dc;Bogota;Urbana;Peatón;;1.0
2016-01-09;6.Sábado;11001.0;Bogota Dc;Bogota;Urbana;Peatón;18:00 a 20:59;1.0
2016-01-09;6.Sábado;11001.0;Bogota Dc;Bogota;Urbana;Usuario de moto;;1.0
2016-01-09;6.Sábado;11001.0;Bogota Dc;Bogota;Urbana;Usuario de moto;06:00 a 08:59;1.0
2016-01-09;6.Sábado;13430.0;Bolivar;Magangue;Urbana;Usuario de moto;;1.0
2016-01-09;6.Sábado;25175.0;Cundinamarca;Chia;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-01-09;6.Sábado;25320.0;Cundinamarca;Guaduas;Rural;Usuario de moto;12:00 a 14:59;1.0
2016-01-09;6.Sábado;25430.0;Cundinamarca;Madrid;Rural;Usuario de moto;;1.0
2016-01-09;6.Sábado;41807.0;Huila;Timana;Urbana;Usuario de moto;21:00 a 23:59;1.0
2016-01-09;6.Sábado;50313.0;Meta;Granada;;Usuario de moto;12:00 a 14:59;1.0
2016-01-09;6.Sábado;52001.0;Narino;Pasto;Urbana;Usuario de V.Individual;;3.0
2016-01-09;6.Sábado;;Narino;Imues;Rural;Usuario de moto;;1.0
2016-01-09;6.Sábado;52720.0;Narino;Sapuyes;Rural;Usuario de moto;;1.0
2016-01-09;6.Sábado;68276.0;Santander;Floridablanca;Urbana;Peatón;18:00 a 20:59;1.0
2016-01-09;6.Sábado;68895.0;Santander;Zapatoca;Rural;Usuario de V.Individual;09:00 a 11:59;1.0
2016-01-09;6.Sábado;76111.0;Valle Del Cauca;Guadalajara Buga;Rural;Peatón;00:00 a 02:59;1.0
2016-01-09;6.Sábado;76111.0;Valle Del Cauca;Guadalajara Buga;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-01-10;7.Domingo;5001.0;Antioquia;Medellin;Urbana;Usuario de moto;21:00 a 23:59;1.0
2016-01-10;7.Domingo;5308.0;Antioquia;Girardota;Rural;Usuario de moto;09:00 a 11:59;1.0
2016-01-10;7.Domingo;5318.0;Antioquia;Guarne;Rural;Peatón;15:00 a 17:59;1.0
2016-01-10;7.Domingo;5615.0;Antioquia;Rionegro;Urbana;Usuario de moto;00:00 a 02:59;1.0
2016-01-10;7.Domingo;8638.0;Atlantico;Sabanalarga;Urbana;Peatón;21:00 a 23:59;1.0
2016-01-10;7.Domingo;11001.0;;Bogota;Urbana;Peatón;;1.0
2016-01-10;7.Domingo;11001.0;Bogota Dc;Bogota;Urbana;Peatón;00:00 a 02:59;1.0
2016-01-10;7.Domingo;11001.0;Bogota Dc;Bogota;Urbana;Peatón;15:00 a 17:59;1.0
10/01/2016;7.Domingo;11001.0;Bogota Dc;Bogota;Urbana;Peatón;21:00 a 23:59;1.0
2016-01-10;7.Domingo;13430.0;Bolivar;Magangue;Urbana;Usuario de moto;;1.0
2016-01-10;7.Domingo;19001.0;Cauca;Popayan;Rural;Peatón;15:00 a 17:59;1.0
2016-01-10;7.Domingo;19532.0;Cauca;Patia;Rural;Usuario de moto;;1.0
2016-01-10;7.Domingo;20400.0;Cesar;La Jagua Ibirico;Rural;Usuario de moto;;1.0
2016-01-10;7.Domingo;23001.0;Cordoba;Monteria;Rural;Usuario de moto;;2.0
2016-01-10;7.Domingo;25035.0;Cundinamarca;Anapoima;Rural;Usuario T.Pasajeros;;1.0
2016-01-10;7.Domingo;25035.0;Cundinamarca;Anapoima;Rural;Usuario T.Pasajeros;09:00 a 11:59;2.0
2016-01-10;7.Domingo;25488.0;Cundinamarca;Nilo;Rural;Peatón;18:00 a 20:59;1.0
2016-01-10;7.Domingo;25754.0;Cundinamarca;Soacha;Urbana;Peatón;;1.0
2016-01-10;7.Domingo;41770.0;Huila;Suaza;Rural;Usuario de moto;;1.0
2016-01-10;7.Domingo;44001.0;La Guajira;Riohacha;Rural;Usuario de moto;12:00 a 14:59;1.0
2016-01-10;7.Domingo;50001.0;Meta;Villavicencio;Urbana;Peatón;21:00 a 23:59;1.0
2016-01-10;7.Domingo;50573.0;Meta;Puerto Lopez;Rural;Sin Información;;1.0
2016-01-10;7.Domingo;50573.0;Meta;Puerto Lopez;Urbana;Usuario de moto;;1.0
2016-01-10;7.Domingo;68081.0;Santander;Barrancabermeja;Rural;Usuario de moto;12:00 a 14:59;1.0
2016-01-10;7.Domingo;68190.0;Santander;Cimitarra;Rural;Usuario de V.Individual;09:00 a 11:59;1.0
2016-01-10;7.Domingo;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;;1.0
2016-01-10;7.Domingo;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;06:00 a 08:59;2.0
2016-01-10;7.Domingo;76147.0;Valle Del Cauca;Cartago;Urbana;Usuario de moto;06:00 a 08:59;1.0
2016-01-10;7.Domingo;76520.0;Valle Del Cauca;Palmira;Urbana;Usuario de moto;12:00 a 14:59;1.0
2016-01-10;7.Domingo;76863.0;Valle Del Cauca;;Rural;Usuario de moto;03:00 a 05:59;1.0
2016-01-10;7.Domingo;85001.0;Casanare;Yopal;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-01-11;1.Lunes;5001.0;Antioquia;Medellin;Urbana;Usuario de bicicleta;03:00 a 05:59;1.0
2016-01-11;1.Lunes;5615.0;Antioquia;Rionegro;Rural;Peatón;18:00 a 20:59;1.0
2016-01-11;1.Lunes;5686.0;Antioquia;Santa Rosa Osos;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-01-11;1.Lunes;15480.0;Boyaca;Muzo;Rural;Peatón;18:00 a 20:59;1.0
2016-01-11;1.Lunes;19548.0;Cauca;Piendamo;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-01-11;1.Lunes;20001.0;Cesar;Valedupar;Urbana;Peatón;21:00 a 23:59;1.0
2016-01-11;1.Lunes;20011.0;Cesar;Aguachica;Urbana;Usuario de moto;;1.0
2016-01-11;1.Lunes;20710.0;Cesar;San Alberto;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-01-11;1.Lunes;25175.0;Cundinamarca;Chia;Urbana;Usuario de bicicleta;12:00 a 14:59;1.0
2016-01-11;1.Lunes;25288.0;Cundinamarca;Fuquene;Rural;Peatón;;2.0
2016-01-11;1.Lunes;25386.0;Cundinamarca;La Mesa;Rural;Usuario de moto;;1.0
;1.Lunes;50001.0;Meta;Villavicencio;Rural;Usuario de moto;;1.0
2016-01-11;1.Lunes;50683.0;Meta;San Juan Arama;Rural;Usuario de moto;;1.0
2016-01-11;1.Lunes;88001.0;Archipielago San Andres, Providencia Y Santa Catalina;SAN ANDRES;Urbana;Usuario de moto;;
2016-03-23;3.Miércoles;5051.0;Antioquia;Arboletes;Urbana;Usuario de moto;;1.0
2016-03-23;3.Miércoles;8001.0;Atlantico;Barranquilla;Urbana;Peatón;15:00 a 17:59;1.0
2016-03-23;3.Miércoles;11001.0;Bogota Dc;Bogota;Urbana;Peatón;;1.0
2016-03-23;3.Miércoles;20001.0;Cesar;Valledupar;Urbana;Usuario de moto;;1.0
;3.Miércoles;20710.0;Cesar;San Alberto;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-03-23;3.Miércoles;47001.0;Magdalena;Santa Marta;Urbana;Peatón;;1.0
2016-03-23;3.Miércoles;52356.0;Narino;Ipiales;Urbana;Usuario T.Pasajeros;15:00 a 17:59;1.0
2016-03-23;3.Miércoles;52835.0;Narino;Tumaco;Rural;Usuario de moto;12:00 a 14:59;1.0
2016-03-23;3.Miércoles;54001.0;Norte Santander;Cucuta;Urbana;Peatón;;1.0
2016-03-23;3.Miércoles;66001.0;Risaralda;Pereira;Urbana;Peatón;15:00 a 17:59;1.0
2016-03-23;3.Miércoles;70670.0;Sucre;Sampues;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-03-23;3.Miércoles;73001.0;Tolima;Ibague;Urbana;Usuario de moto;06:00 a 08:59;1.0
2016-03-23;3.Miércoles;76020.0;Valle Del Cauca;;Rural;Usuario de moto;;
2016-03-23;3.Miércoles;76520.0;Valle  Del  Cauca;Palmira;Rural;Usuario T.Carga;;1.0
2016-03-24;4.Jueves;5001.0;Antioquia;Medellin;Urbana;Peatón;21:00 a 23:59;1.0
2016-03-24;4.Jueves;5212.0;Antioquia;Copacabana;Sin Información;Usuario de V.Individual;03:00 a 05:59;1.0
2016-03-24;4.Jueves;5679.0;Antioquia;Santa Barbara;Rural;Usuario de moto;12:00 a 14:59;1.0
2016-03-24;;5842.0;Antioquia;Uramita;Rural;Usuario de V.Individual;15:00 a 17:59;1.0
2016-03-24;4.Jueves;11001.0;Bogota Dc;Bogota;Urbana;Peatón;;1.0
2016-03-24;4.Jueves;11001.0;Bogota Dc;Bogota;Urbana;Usuario de moto;18:00 a 20:59;2.0
2016-03-24;4.Jueves;13001.0;Bolivar;Cartagena;Urbana;;;1.0
2016-03-24;4.Jueves;15693.0;Boyaca;Santa Rosa Viterbo;Rural;USUARIO DE BICICLETA;;1.0
2016-03-24;4.Jueves;20787.0;Cesar;Tamalameque;Rural;Usuario de moto;00:00 a 02:59;1.0
2016-03-24;4.Jueves;23417.0;Cordoba;Lorica;Rural;Usuario de moto;06:00 a 08:59;1.0
2016-03-24;4.Jueves;23672.0;Cordoba;San Antero;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-03-24;4.Jueves;25290.0;Cundinamarca;Fusagasuga;Urbana;Usuario de bicicleta;;1.0
2016-03-24;4.Jueves;25572.0;Cundinamarca;Puerto Salgar;Sin Información;Usuario de V.Individual;09:00 a 11:59;1.0
2016-03-24;4.Jueves;25649.0;Cundinamarca;San Bernardo;Rural;Usuario de moto;;1.0
2016-03-24;4.Jueves;41349.0;Huila;Hobo;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;44378.0;La Guajira;Hatonuevo;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;50606.0;Meta;Restrepo;Rural;Usuario de V.Individual;15:00 a 17:59;1.0
2016-03-24;4.Jueves;52210.0;Narino;Contadero;Rural;Usuario de moto;09:00 a 11:59;1.0
2016-03-24;4.Jueves;54498.0;Norte Santander;Ocana;Urbana;Usuario de moto;18:00 a 20:59;1.0
2016-03-24;4.Jueves;73001.0;Tolima;Ibague;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;73168.0;Tolima;Chaparral;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;;2.0
2016-03-24;4.Jueves;76403.0;Valle Del Cauca;La Victoria;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-03-24;4.Jueves;76520.0;Valle Del Cauca;Palmira;Urbana;Usuario de bicicleta;;1.0
2016-03-24;4.Jueves;85001.0;Casanare;Yopal;Rural;Usuario de moto;06:00 a 08:59;1.0
2016-03-24;4.Jueves;85010.0;Casanare;Aguazul;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;85250.0;Casanare;Paz Ariporo;Urbana;Usuario de moto;;1.0
2016-03-24;4.Jueves;85440.0;Casanare;Villanueva;Rural;Usuario de moto;;1.0
2016-03-25;5.Viernes;5088.0;Antioquia;Bello;Urbana;Usuario de moto;00:00 a 02:59;1.0
2016-03-25;5.Viernes;5212.0;Antioquia;Copacabana;Sin Información;Usuario de moto;15:00 a 17:59;1.0
2016-03-25;5.Viernes;5887.0;Antioquia;Yarumal;Rural;Usuario de V.Individual;12:00 a 14:59;1.0
2016-03-25;5.Viernes;20710.0;Cesar;San Alberto;Rural;Usuario T.Carga;06:00 a 08:59;1.0
2016-03-25;5.Viernes;20710.0;Cesar;San Alberto;Urbana;Usuario T.Carga;06:00 a 08:59;1.0
2016-03-25;5.Viernes;23001.0;Cordoba;Monteria;Rural;Usuario de V.Individual;;1.0
2016-03-25;5.Viernes;25214.0;Cundinamarca;Cota;Rural;Usuario de moto;21:00 a 23:59;1.0
2016-03-25;5.Viernes;44001.0;La Guajira;;Urbana;Usuario de moto;21:00 a 23:59;1.0
2016-03-25;5.Viernes;63001.0;Quindio;Armenia;Urbana;Peatón;;2.0
2016-03-25;5.Viernes;68327.0;Santander;Guepsa;Rural;Usuario de moto;18:00 a 20:59;1.0
2016-03-25;5.Viernes;70001.0;Sucre;Sincelejo;Urbana;Usuario de moto;18:00 a 20:59;1.0
2016-03-25;5.Viernes;76020.0;Valle Del Cauca;Alcala;Rural;Usuario de moto;09:00 a 11:59;1.0
2016-03-25;5.Viernes;76020.0;Valle Del Cauca;Alcala;Urbana;Usuario de moto;09:00 a 11:59;1.0
2016-03-26;6.Sábado;5001.0;Antioquia;Medellin;Urbana;Usuario de moto;09:00 a 11:59;1.0
2016-03-26;6.Sábado;5088.0;Antioquia;Bello;Urbana;Usuario de moto;18:00 a 20:59;1.0
2016-03-26;6.Sábado;5579.0;Antioquia;Puerto Berrio;Rural;Usuario de moto;;1.0
2016-03-26;6.Sábado;8433.0;Atlantico;Malambo;Rural;Peatón;18:00 a 20:59;1.0
2016-03-26;6.Sábado;8638.0;Atlantico;Sbanalarga;Urbana;Usuario de moto;21:00  a  23:59;1.0
