FechaVersion;AnoHecho;MesOCurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;TipoVehiculoGrupo;ObjetoColision;ConteoRegistros
2024-08-31;2024.0;01.Enero;5129.0;Antioquia;Caldas;Rural;Mujer;26.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5129.0;Antioquia;Caldas;Urbana;Hombre; 18.0 ;;Motocicleta;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5129.0;Antioquia;Caldas;Urbana;Hombre;36.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5129.0;Antioquia;Caldas;Urbana;Hombre;37.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5147.0;Antioquia;Carepa;Urbana;Hombre;18.0;Usuario de moto;  Motocicleta  ;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5147.0;Antioquia;Carepa;Urbana;Mujer;83.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5148.0;Antioquia;El Carmen Viboral;Rural;Hombre;69.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5154.0;Antioquia;Caucasia;Urbana;Hombre;15.0;Usuario de bicicleta;Bicicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5154.0;Antioquia;Caucasia;Urbana;Hombre;20.0;Usuario de moto;Motocicleta;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5172.0;Antioquia;Chigorodo;Rural;Hombre;30.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5172.0;Antioquia;Chigorodo;Rural;Hombre;53.0;Usuario de bicicleta;Bicicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5172.0;Antioquia;CHIGORODO;Urbana;Hombre;37.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5190.0;Antioquia;Cisneros;Urbana;Hombre;52.0;Usuario de moto;Motocicleta;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5197.0;Antioquia;Cocorna;Rural;Hombre;21.0;Usuario T.Carga;Transporte De Carga;No aplica;1.0
31/08/2024;2024.0;01.Enero;5212.0;Antioquia;Copacabana;Rural;Hombre;25.0;Usuario de V.Individual;Transporte Individual;No aplica;1.0
2024-08-31;2024.0;01.Enero;5212.0;Antioquia;Copacabana;Rural;Hombre;34.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5234.0;Antioquia;Dabeiba;Rural;Hombre;46.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5234.0;Antioquia;Dabeiba;Urbana;Hombre;77.0;;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5308.0;Antioquia;Girardota;Urbana;Mujer;78.0;;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5347.0;Antioquia;Heliconia;Rural;Hombre;76.0;Usuario T.Carga;Transporte De Carga;No aplica;1.0
2024-08-31;2024.0;01.Enero;5360.0;Antioquia;Itagui;Urbana;Hombre;19.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5360.0;Antioquia;Itagui;Urbana;Hombre;41.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5360.0;Antioquia;Itagui;Urbana;Hombre;83.0;Peatón;No Alica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5376.0;Antioquia;La Ceja;Rural;;35.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5376.0;Antioquia;La Ceja;Rural;Mujer;45.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5400.0;Antioquia;La Union;Rural;Hombre;39.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5400.0;Antioquia;La Union;Rural;Hombre;81.0;Peatón;No Aplica;Motocicleta;1,0
